,OPERADORA,ESTADO,MES,ANO_BASE,AREA_TRABALHO,RESPONSAVEL,IDADE,SEXO,SATISFACAO_GERAL,USOU_SEIS_MESES_ANTES,USOU_ATEND_TELEFONICO,USOU_ATEND_INTERNET,USOU_ATEND_LOJA,USOU_ATEND_CANAIS,PROBLEMAS_CREDITO,PROBLEMAS_LIGACOES,PROBLEMAS_3G4G,OUTRA_OPERADORA,CIDADE_x,COD_IBGE,QTD_RESIDENTES,RENDA_MENSAL,PESO,SATISFACAO,REGIAO,CIDADE_y,POPULACAO,RENDA_PERCAPITA,PER_CLASSE_A,PER_CLASSE_B,PER_CLASSE_C,PER_CLASSE_D,PER_CLASSE_E
0,TIM,SE,ago,2019,2,1,40,2,0,0,0,0,0,0,0,0,0,0,ARACAJU,2800308.0,1,1300,0.120366062,4,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
1,TIM,SE,out,2019,2,1,39,2,1,1,1,1,1,1,0,0,1,1,ARACAJU,2800308.0,2,2500,0.120366062,9,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
2,OI,SE,out,2019,2,1,56,2,1,0,1,1,1,1,0,0,1,1,ARACAJU,2800308.0,1,1200,0.171292435,10,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
3,OI,SE,out,2019,2,1,31,1,1,1,0,0,0,0,0,0,0,0,ARACAJU,2800308.0,2,4000,0.171292435,9,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
4,OI,SE,out,2019,2,1,28,2,0,1,0,0,0,0,0,0,0,0,ARACAJU,2800308.0,2,1200,0.171292435,5,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
5,VIVO,SE,nov,2019,2,1,53,2,0,1,1,1,1,1,0,1,1,1,ARACAJU,2800308.0,2,1200,0.486186899,7,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
6,OI,SE,nov,2019,2,1,29,1,1,1,0,0,0,0,0,0,0,0,ARACAJU,2800308.0,3,2500,0.171292435,8,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
7,TIM,SE,nov,2019,2,1,24,1,1,1,1,1,1,1,0,0,1,1,ARACAJU,2800308.0,1,1200,0.120366062,10,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
8,TIM,SE,nov,2019,2,1,25,2,0,1,0,0,0,0,0,0,0,0,ARACAJU,2800308.0,2,2000,0.120366062,7,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
9,TIM,SE,dez,2019,2,1,39,1,1,1,1,1,1,1,0,0,1,1,ARACAJU,2800308.0,2,2000,0.120366062,10,NORDESTE,ARACAJU,656453,1222.3418565424163,6.71,10.23,31.79,33.73,9.54
